order_id,quantity,item_name,choice_description,item_price
1,1,Chips and Fresh Tomato Salsa,no choice,2.39
2,2,Chicken Bowl,"Tomatillo-Red Chili Salsa (Hot), Black Beans, Rice, Cheese, Sour Cream",16.98
3,1,Chicken Bowl,"Fresh Tomato Salsa (Mild) (Mild), Rice, Cheese, Sour Cream, Guacamole, Lettuce",10.98
4,1,Steak Burrito,"Tomatillo-Red Chili Salsa (Hot), Fajita Vegetables, Black Beans, Pinto Beans, Cheese, Sour Cream, Guacamole, Lettuce",11.75
5,1,Steak Burrito,"Fresh Tomato Salsa (Mild), Rice, Black Beans, Pinto Beans, Cheese, Sour Cream, Lettuce",9.25
6,1,Chicken Crispy Tacos,"Roasted Chili Corn Salsa, Fajita Vegetables, Rice, Black Beans, Cheese, Sour Cream",8.75
7,1,Chicken Bowl,"Fresh Tomato Salsa (Mild), Fajita Vegetables, Rice, Cheese, Sour Cream, Guacamole",11.25
8,1,Chips and Tomatillo-Green Chili Salsa,no choice,2.39
9,1,Chicken Burrito,"Fresh Tomato Salsa (Mild) (Mild), Black Beans, Rice, Cheese, Sour Cream, Lettuce",8.49
10,1,Chicken Bowl,"Tomatillo-Red Chili Salsa (Hot), Fajita Vegetables, Black Beans, Sour Cream, Cheese, Lettuce",8.75
11,1,Barbacoa Burrito,"Fresh Tomato Salsa (Mild) (Mild), Tomatillo-Green Chili Salsa (Medium), Tomatillo-Red Chili Salsa (Hot), Rice, Cheese, Sour Cream, Lettuce",8.99
12,1,Chicken Burrito,"Tomatillo-Green Chili Salsa (Medium), Tomatillo-Red Chili Salsa (Hot), Pinto Beans, Rice, Cheese, Sour Cream, Guacamole, Lettuce",10.98
13,1,Chips and Fresh Tomato Salsa,no choice,2.39
14,1,Carnitas Burrito,"Tomatillo-Green Chili Salsa (Medium), Roasted Chili Corn Salsa (Medium), Black Beans, Rice, Sour Cream, Lettuce",8.99
15,1,Chicken Burrito,"Tomatillo-Green Chili Salsa (Medium), Pinto Beans, Rice, Cheese, Sour Cream",8.49
16,1,Steak Burrito,"Roasted Chili Corn Salsa (Medium), Fresh Tomato Salsa (Mild) (Mild), Rice, Black Beans, Sour Cream",8.99
17,1,Carnitas Bowl,"Tomatillo-Red Chili Salsa (Hot), Black Beans, Rice, Fajita Veggies, Cheese, Sour Cream, Lettuce",8.99
18,1,Chicken Soft Tacos,"Roasted Chili Corn Salsa, Rice",8.75
19,1,Barbacoa Bowl,"Roasted Chili Corn Salsa, Fajita Vegetables, Rice, Black Beans, Cheese, Sour Cream, Guacamole, Lettuce",11.75
20,1,Chips and Guacamole,no choice,4.45
21,1,Chicken Burrito,"Tomatillo-Red Chili Salsa (Hot), Black Beans, Fajita Veggies, Cheese, Sour Cream, Guacamole, Lettuce",10.98
22,1,Steak Burrito,"Fresh Tomato Salsa (Mild) (Mild), Roasted Chili Corn Salsa (Medium), Tomatillo-Red Chili Salsa (Hot), Black Beans, Rice, Sour Cream",8.99
23,1,Steak Burrito,"Roasted Chili Corn Salsa (Medium), Rice, Fajita Veggies, Cheese, Sour Cream, Lettuce",8.99
24,1,Chicken Burrito,"Roasted Chili Corn Salsa (Medium), Black Beans, Rice, Fajita Veggies, Cheese, Sour Cream, Guacamole, Lettuce",10.98
25,1,Steak Bowl,"Fresh Tomato Salsa (Mild) (Mild), Black Beans, Rice, Fajita Veggies, Cheese, Sour Cream",8.99
26,1,Barbacoa Soft Tacos,"Fresh Tomato Salsa (Mild), Fajita Vegetables, Black Beans, Lettuce",9.25
27,1,Barbacoa Bowl,"Roasted Chili Corn Salsa, Fajita Vegetables, Rice, Black Beans, Cheese, Sour Cream, Guacamole, Lettuce",11.75
28,1,Chips and Guacamole,no choice,4.45
29,1,Steak Burrito,"Tomatillo-Red Chili Salsa (Hot), Black Beans, Rice, Fajita Veggies, Cheese, Sour Cream, Lettuce",8.99
30,1,Izze,Blackberry,3.39
31,1,Steak Burrito,"Roasted Chili Corn Salsa (Medium), Rice, Black Beans, Sour Cream",8.99
32,1,Steak Burrito,"Tomatillo-Red Chili Salsa (Hot), Black Beans, Rice, Cheese, Sour Cream, Lettuce",8.99
33,1,Chicken Burrito,"Tomatillo-Red Chili Salsa (Hot), Rice, Black Beans, Cheese, Sour Cream",8.75
34,1,Chicken Soft Tacos,"Tomatillo-Red Chili Salsa (Hot), Rice, Cheese, Sour Cream, Lettuce",8.75
35,1,Chicken Soft Tacos,"Roasted Chili Corn Salsa, Rice, Cheese, Lettuce, Guacamole",11.25
36,1,Barbacoa Burrito,"Fresh Tomato Salsa (Mild), Rice, Pinto Beans, Cheese, Sour Cream, Lettuce",9.25
37,1,Chicken Burrito,"Tomatillo Green Chili Salsa, Rice, Black Beans, Sour Cream, Cheese",8.75
38,1,Veggie Bowl,"Tomatillo-Red Chili Salsa (Hot), Pinto Beans, Black Beans, Rice, Fajita Veggies, Lettuce",8.49
39,1,Carnitas Burrito,"Fresh Tomato Salsa (Mild), Rice, Pinto Beans, Sour Cream, Cheese",9.25
40,1,Steak Bowl,"Fresh Tomato Salsa (Mild), Rice, Black Beans, Cheese, Sour Cream, Guacamole",11.75
41,1,Carnitas Burrito,"Roasted Chili Corn Salsa, Sour Cream, Guacamole",11.75
42,1,Barbacoa Bowl,"Fresh Tomato Salsa (Mild), Fajita Vegetables, Rice, Cheese, Sour Cream",9.25
43,1,Carnitas Bowl,"Fresh Tomato Salsa (Mild), Fajita Vegetables, Rice, Black Beans, Cheese, Guacamole, Lettuce",11.75
44,1,Chicken Bowl,"Tomatillo-Red Chili Salsa (Hot), Rice, Fajita Vegetables, Sour Cream, Lettuce",8.75
45,1,Steak Burrito,"Tomatillo-Green Chili Salsa (Medium), Rice, Cheese, Sour Cream, Lettuce",8.99
46,1,Veggie Burrito,"Fresh Tomato Salsa (Mild) (Mild), Black Beans, Rice, Fajita Veggies, Sour Cream, Lettuce",8.49
47,1,Steak Burrito,"Roasted Chili Corn Salsa (Medium), Rice, Black Beans, Fajita Veggies, Sour Cream",8.99
48,1,Steak Burrito,"Roasted Chili Corn Salsa, Fajita Vegetables, Rice, Cheese, Sour Cream, Lettuce",9.25
49,1,Chicken Bowl,"Tomatillo-Red Chili Salsa (Hot), Rice, Black Beans, Cheese, Sour Cream, Lettuce",8.75
50,1,Chips and Tomatillo-Green Chili Salsa,no choice,2.39
51,1,Barbacoa Bowl,"Tomatillo-Red Chili Salsa (Hot), Tomatillo-Green Chili Salsa (Medium), Rice, Pinto Beans, Fajita Veggies, Cheese, Sour Cream, Lettuce",8.99
52,1,Steak Soft Tacos,"Roasted Chili Corn Salsa (Medium), Tomatillo-Red Chili Salsa (Hot), Cheese, Sour Cream, Lettuce",8.99
53,1,Chicken Burrito,"Tomatillo-Red Chili Salsa (Hot), Rice, Black Beans, Sour Cream, Cheese, Lettuce",8.75
54,1,Chicken Bowl,"Fresh Tomato Salsa (Mild), Guacamole, Cheese, Sour Cream, Fajita Vegetables, Rice",11.25
55,1,Steak Burrito,"Roasted Chili Corn Salsa (Medium), Rice, Black Beans, Fajita Veggies, Sour Cream",8.99
56,1,Barbacoa Bowl,"Tomatillo-Red Chili Salsa (Hot), Rice, Pinto Beans, Cheese, Lettuce",9.25
